studentnumber, familyname, givenname, grant, emailaddress
1342088432, Zedslamares, Mjolarkark, false, mjolarkark.zedslamares@mail.utoronto.ca
1722477828, Krired, Zorkairmed, false, zorkairmed.krired@mail.utoronto.ca
1552264775, Krmaracer, Reicratron, false, reicratron.krmaracer@mail.utoronto.ca
1848603557, Cruredarc, Krcresmed, false, krcresmed.cruredarc@mail.utoronto.ca
1907443616, Marirder, Crymiricred, false, crymiricred.marirder@mail.utoronto.ca
1363292541, Jarmeeark, Reiairure, false, reiairure.jarmeeark@mail.utoronto.ca
1439403490, Mormiritron, Azurmaraczur, true, azurmaraczur.mormiritron@mail.utoronto.ca
1313340385, Krarkarc, Cairder, false, cairder.krarkarc@mail.utoronto.ca
1436145002, Creosalmarmur, Cromimed, false, cromimed.creosalmarmur@mail.utoronto.ca
1505415496, Jarzoird, Crumurmed, false, crumurmed.jarzoird@mail.utoronto.ca
1487538515, Drakmaraced, Breclozur, false, breclozur.drakmaraced@mail.utoronto.ca
1829031452, Azurcresmed, Drakmeed, false, drakmeed.azurcresmed@mail.utoronto.ca
1655214415, Mormaracure, Morslamarmur, false, morslamarmur.mormaracure@mail.utoronto.ca
1927629407, Cryarczur, Krslamarmur, true, krslamarmur.cryarczur@mail.utoronto.ca
1303087535, Zuraires, Mermaraccred, false, mermaraccred.zuraires@mail.utoronto.ca
1425908355, Brearcark, Drakarcer, false, drakarcer.brearcark@mail.utoronto.ca
1697510693, Madmeemur, Brezermur, false, brezermur.madmeemur@mail.utoronto.ca
1818451674, Jarmeecred, Zedmeearc, false, zedmeearc.jarmeecred@mail.utoronto.ca
1759183707, Mrokmiricred, Cryslamared, false, cryslamared.mrokmiricred@mail.utoronto.ca
1388403313, Creomeearc, Rayairmed, false, rayairmed.creomeearc@mail.utoronto.ca
1151127061, Mermiried, Cruzerarc, true, cruzerarc.mermiried@mail.utoronto.ca
1498348438, Merarcer, Creocramur, false, creocramur.merarcer@mail.utoronto.ca
1464557089, Lukcloder, Azurmiriure, false, azurmiriure.lukcloder@mail.utoronto.ca
1241813035, Jarmaracd, Merarcmur, false, merarcmur.jarmaracd@mail.utoronto.ca
1472589261, Creoarked, Rayclotron, false, rayclotron.creoarked@mail.utoronto.ca
1928802564, Zedcloure, Reimirimed, false, reimirimed.zedcloure@mail.utoronto.ca
1423684452, Jagcraark, Azurcloure, false, azurcloure.jagcraark@mail.utoronto.ca
1029045836, Raysalmarder, Crozercred, true, crozercred.raysalmarder@mail.utoronto.ca
